audio_file|text
wavs/ASF001-AS-ST01U1.wav|এদিন মাছবোৰ গোট খাই মাছখোৱা জন্তুবোৰৰ সৈতে
wavs/ASF001-AS-ST01U2.wav|ৰণ দিবলৈ থিৰ কৰাৰ নিমিত্তে মেল মৰা বিলৰ
wavs/ASF001-AS-ST01U3.wav|ভগা ডুবিতে দুপৰীয়া মেল পাতিলে
wavs/ASF001-AS-ST01U4.wav|সৌ মেললৈ ৰৌ বৰালি বাহু শল কাৱৈ গৰৈকে আদি কৰি ফুল দৰিকণালৈকে সকলোবোৰ মাছ আহিল
wavs/ASF001-AS-ST01U5.wav|সমজুৱাসকল গোট খালত টপামুৰীয়া গৰৈক সকলোৱে
wavs/ASF001-AS-ST01U6.wav|সেই দিনাৰ মেলখনত বৰমূৰীয়া পাতিবলৈ আৰু
wavs/ASF001-AS-ST01U7.wav|লৰবৰ চেঙেলীক পাচনীৰ ভাৰ দিলে
wavs/ASF001-AS-ST01U8.wav|পাচনীয়ে গংগাটোপক মেলখন নো কিয় পতা হৈছে
wavs/ASF001-AS-ST01U9.wav|সমজুৱাসকলক ভালকৈ বুজাই দিবলৈ কলত
wavs/ASF001-AS-ST01U10.wav|গংগাটোপে হাতযোৰ কৰি কবলৈ ধৰিলে
wavs/ASF001-AS-ST01U11.wav|ৰাইজসকল মই আজি আপোনালোকৰ ভৰিৰ ধুলি মূৰত লৈ
wavs/ASF001-AS-ST01U12.wav|আমাৰ পাচনী চেঙেলী ককাইৰ আজ্ঞামতে
wavs/ASF001-AS-ST01U13.wav|আষাৰ চেৰেক কথা কব খুজিছো
wavs/ASF001-AS-ST01U14.wav|যদি মোৰ কথাত কিবা স্বৰূপে কেনা লাগে
wavs/ASF001-AS-ST01U15.wav|মই লৰামতিক মূৰুখ বুলি মোৰ জগৰ নধৰি দায় দোষ মৰিষণ কৰিব
wavs/ASF001-AS-ST01U16.wav|যেন আপোনালোকৰ চৰণত মোৰ এয়ে তুতি
wavs/ASF001-AS-ST01U17.wav|সকলো জন্তুৰ ভিতৰত আমাক ঘাই
wavs/ASF001-AS-ST02U1.wav|মানুহ নামৰ জন্তুবোৰে বৰকৈ হিংসা বৈৰিতা কৰে
wavs/ASF001-AS-ST02U2.wav|সিহঁতে আমাক জাল পল জুলুকি পাউৰী চেপা ঠুহা আদি
wavs/ASF001-AS-ST02U3.wav|নানা যন্ত্রৰে ধৰি তপত তেলত
wavs/ASF001-AS-ST02U4.wav|আৰু পকা অঙঠাত পেলাই
wavs/ASF001-AS-ST02U5.wav|ভাজি পুৰি পাতত দি খৰিকাত দি সিজাই পকাই খায়
wavs/ASF001-AS-ST02U6.wav|কিন্তু এটা কথা ৰাইজে মন কৰি চাব যে
wavs/ASF001-AS-ST02U7.wav|সিহঁতে আমাক এইদৰে নানা শাস্তি দি খায়
wavs/ASF001-AS-ST02U8.wav|তথাপি সিহঁতক আন আন পশু জাতিৰ গোলাম কৰিহে
wavs/ASF001-AS-ST02U9.wav|ঈশ্বৰে স্বৰজি পঠিয়াইছে
wavs/ASF001-AS-ST02U10.wav|আপোনালোকে মানুহ নামৰ এই জন্তুবোৰৰ
wavs/ASF001-AS-ST02U11.wav|ঘৰে পতি চাই ফুৰকগৈ
wavs/ASF001-AS-ST02U12.wav|দেখিব সিহঁতে গৰু মহ ঘোঁৰা ছাগলী আদিৰ কি দৰে গোলামি কৰিব লাগিছে
wavs/ASF001-AS-ST02U13.wav|গৰু ঘোঁৰাক সিহঁতে খাবলৈ ঘাঁহ দিছে
wavs/ASF001-AS-ST02U14.wav|শুবলৈ খেৰ পাৰি দিছে থাকিবলৈ ঘৰ সাজি দিছে
wavs/ASF001-AS-ST02U15.wav|গৰু ঘোঁৰা ছাগলীৰ গোবৰ আৰু লাড পৰ্যন্ত
wavs/ASF001-AS-ST02U16.wav|এই বহটিয়াবোৰে উকতি চাফা কৰিছে
wavs/ASF001-AS-ST02U17.wav|ৰাইজসকল একপ্রকাৰ চাবলে গলে এই মানুহ জাতিটো
wavs/ASF001-AS-ST03U1.wav|আগৰ কালত গৰু পোৱালি আছিল যেন মনে ধৰে
wavs/ASF001-AS-ST03U2.wav|কিয়নো সিহঁতে গৰুৰ গাখীৰ খায়
wavs/ASF001-AS-ST03U3.wav|মাকৰ গাখীৰ খাইহে পোৱালি ডাঙৰ হব পাৰে
wavs/ASF001-AS-ST03U4.wav|এইবোৰ কথা ভালকৈ ভাবি চালে মানুহ
wavs/ASF001-AS-ST03U5.wav|জাতিটো যে গোটগৰু আৰু সমূলি বুধি নাইকিয়া
wavs/ASF001-AS-ST03U6.wav|এতেকে এনে গৰু মানুহক আমি
wavs/ASF001-AS-ST03U7.wav|টিলিকতে বধ কৰি আইধা কৰিব পাৰিমহঁক
wavs/ASF001-AS-ST03U8.wav|ৰাইজসকল মই মুৰুখমতি লৰা
wavs/ASF001-AS-ST03U9.wav|জুকিয়াই লৈ ভাঙি পাতি কব পৰা নাই
wavs/ASF001-AS-ST03U10.wav|মোৰ মাহী গেদগেদী এই মেললৈ
wavs/ASF001-AS-ST03U11.wav|কিয় আজি অহা নাই কব নোৱাৰো
wavs/ASF001-AS-ST03U12.wav|তেওঁ ইয়াত থকা হেঁতেন জন্তুৰ ভিতৰত
wavs/ASF001-AS-ST03U13.wav|কুলাধম এই মানুহবোৰৰ বিষয়ে
wavs/ASF001-AS-ST03U14.wav|আৰু ভালকৈ বৰ্ণাই আপোনালোকৰ আগত কব পাৰিলেহেঁতেন
wavs/ASF001-AS-ST03U15.wav|আৰু সিহঁতক কেনেকৈ মাৰিব পাৰি
wavs/ASF001-AS-ST03U16.wav|কি গুণ কি ব্যৱস্থা সকলোবোৰ বহলাই কব পাৰিলেহেঁতেন
wavs/ASF001-AS-ST03U17.wav|কাৰণ তেওঁৰ মুখখনি বহল
wavs/ASF001-AS-ST04U1.wav|সেই মুখখনৰেই মোৰ গেদগেদী মাহীয়ে
wavs/ASF001-AS-ST04U2.wav|আগৰ কালত কুৰুক্ষেত্র যুঁজত ওঠৰ অক্ষৌহিণী সৈন্যৰ ভিতৰত
wavs/ASF001-AS-ST04U3.wav|অকলে এক অক্ষৌহিণী গিলিছিল বুলি শুনিছোঁ
wavs/ASF001-AS-ST04U4.wav|এতেকে তেওঁক বেগতে মতাই আনি
wavs/ASF001-AS-ST04U5.wav|মোৰ কথাৰ প্রমাণ লওক
wavs/ASF001-AS-ST04U6.wav|গংগাটোপৰ কথা শুনি তেতিয়াই মেলৰ বৰমূৰীয়া গৰচেঙেলী
wavs/ASF001-AS-ST04U7.wav|পাচনীক হুকুম দিলে যে গেদগেদী বাইক এতিয়াই অনাব লাগে
